archivo_pdf,paginas_pdf,tipo_informe,codigo_documento,nombre_edificacion_informe,ubicacion_informe,lat_informe,lon_informe,fecha_inspeccion_informe,evaluadores,supervisor,dictamen_etiqueta,recomienda_demolicion,inviabilidad_reparacion,uso,anio_construccion_informe,num_pisos_informe,num_sotanos_informe,area_planta_m2,sistema_estructural,piso_critico_mencionado,hallazgos_flags,n_evidencias_fotograficas_citadas,extracto_conclusiones,texto_disponible,chars_texto_extraido,match_calidad,match_score,hab_id,hab_certificado,hab_etiqueta,hab_nombre,hab_direccion,hab_municipio,hab_parroquia,hab_num_pisos,hab_material,hab_uso,hab_inspector,hab_created_at,hab_estatus_demolicion,hab_lat,hab_lng,hab_obs,match_alternativos,nombre_norm,nombre_archivo_norm
INFORME TECNICO RESIDENCIAS AGUAMARINA.pdf,5,Justificación técnica de demolición,,Residencias Aguamarina,"Calle Guaicaipuro, Caraballeda, estado La Guaira, Venezuela",10.6121524,-66.8443427,11-08-2026,Evaluador,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,,,5,,,"pórticos de concreto armado, losas aligeradas y elementos de mampos",,dano_losas; cerramientos; acordonamiento,11,La condición observada justifica considerar la demolición controlada de la estructura ,Sí,6298,Alto,0.95,190153,228257200720261317,ROJO,Edif.Sol del caribe,Av guicamacuto,VARGAS,CARABALLEDA,13.0,Concreto,Vivienda Edificio,Yenifer Del Carmen Noguera,2026-07-23 10:54:11,,10.6106961,-66.8445068,"se observo daños estructurales, es inhabitable, se recomienda acordonar y una nueva inspección de especialistas ","Residencia agua marina (ROJO, score=0.95, id=173716) | Vallcarca (ROJO, score=0.95, id=172924)",aguamarina,aguamarina
INFORME TECNICO RESIDENCIAS ALTOMAR.pdf,5,Justificación técnica de demolición,,Residencia Alto Mar,,,,11 de agosto de 2026,Edinson Stand Ing. Crisbelys Caraballo Ing,Jorge medina,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,4,,,"pórticos de concreto armado con muros de mampostería confinada, con",,falla_columnas; dano_losas; cerramientos; acordonamiento; apuntalamiento,6,Y DEMOLICIÓN TÉCNICA CONTROLADA DE LA EDIFICACIÓN. ,Sí,6703,Alto (alias manual),1.0,114439,19142140720261245,ROJO,Altomar,"Caracas, Distrito Capital, 10, Venezuela",VARGAS,URIMARE,8.0,Concreto,Vivienda Edificio,Jose Gregorio Ortiz Carrillo,2026-07-14 12:45:59,,10.6093838,-67.0110124,nan,"Alto mar (ROJO, score=1.0, id=120239) | Hotel y restaurante Alto Mar (ROJO, score=0.9, id=171786)",alto mar,altomar
INFORME TECNICO RESIDENCIAS CAMURI BEACH.pdf,5,Justificación técnica de demolición,DGPS-002-11-08-2026,Res. Camurí Beach,"Av. La Costanera, Caraballeda, Estado La Guaira. Coordenadas GPS:",10.610844,-66.868768,11 de agosto de 2026,Evaluador; Supervisor,Aura Quintero,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,,,13,,432,pórticos de concreto armado diseñados y construido en 1996,piso crítico (Nivel 1 / Planta Baja). Más del 30%,falla_columnas; dano_vigas; cerramientos; peligro_aledanos; acordonamiento; apuntalamiento,0,DICTAMEN TÉCNICO FINAL: DEMOLICIÓN RECOMENDADA (Opción principal según ,Sí,4654,Alto (alias manual),1.0,95703,5064130720261313,ROJO,Camuri beach ,"Caraballeda, camurichico",VARGAS,CARABALLEDA,12.0,Concreto,Vivienda Edificio,Eduardo Luis Contreras Barragan,2026-07-13 13:14:04,,10.610842,-66.868597,"Se deben tomar acciones de patología estructural para evaluar la recuperación del edificio, solo daño fuerte en dos columnas de resto daño moderado. Sin pandeo en columnas y vigas","RESIDENCIA CAMIRI BEACH (ROJO, score=0.95, id=92223) | Cimas del Mar (ROJO, score=0.75, id=3438)",res camuri beach,camuri beach
INFORME TECNICO RESIDENCIAS CONTRY MAR.pdf,3,Ficha PNUD / ATC-20 detallada,,"Residencias Country Mar (Cinco pisos, un","Avenida Granada, sector de Caraballeda, parroquia",,,11 de agosto de 2026,Graciela Pieve; Fredy Jesús Briceño ACOMPAÑANTE; Aura Quintero,A:,INSEGURO (Rojo) — confirmado/citado,Sí,Sí,,,5,,,pórticos de concreto armado (vigas y columnas portantes) con losas,,falla_columnas; perdida_verticalidad; dano_losas; peligro_aledanos; acordonamiento; apuntalamiento,0,técnicamente la demolición total y el posterior bote de escombros: ,Sí,6445,Alto (alias manual),1.0,162009,3467170720261333,ROJO,Edificio country mar ,Av  la playa ,VARGAS,MACUTO,10.0,Concreto,Vivienda Edificio,Alex Jose Moreno Zarate,2026-07-17 13:34:35,,10.6095686,-66.8809879,Todas las juntas de dilatación presentan desplazamiento entre 2 y 2.5 cm de la losa de entre piso.,"residencias caraballeda country mar (ROJO, score=0.4, id=121115) | Residencias, carabelleda, country-mar  (ROJO, score=0.4, id=69546)",country mar cinco pisos un,contry mar
INFORME TECNICO RESIDENCIAS DICTIS.pdf,3,Justificación técnica de demolición,,"Residencia Dictis,","Playa Grande, entre calle 6 y 7, parroquia Catia La Mar, Municipio",,,,,,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,Sí,,,,,,,,falla_columnas; perdida_verticalidad; dano_losas; cerramientos,0,Justificación Técnica de Demolición por Daño Severo ,Sí,4055,Alto (alias manual),1.0,157349,31571150720261313,ROJO,Residencias Dictis,CALLE ENTRE NORTE Y OCHO. MANZANA C. PARCELAS 3 Y 7 EDIF RESIDENCIAS DICTIS PISO 6 APT 6-B URB PLAYA GRANDE CATIA LA MAR (CAPITAL) LA GUAIRA ZONA POSTAL 1162,VARGAS,URIMARE,6.0,Concreto,Vivienda Edificio,Donna Carolina Rivas,2026-07-16 08:24:13,,10.609882145997211,-67.01996594667436,nan,"Dictis (ROJO, score=1.0, id=175560) | Residencias Dictis  (ROJO, score=1.0, id=161236)",dictis,dictis
INFORME TECNICO RESIDENCIAS DOÑA HILDA.pdf,5,Justificación técnica de demolición,,"Doña Hilda Av. Central, Parroquia Macuto, Estado La Guaira",Avenida Central. Año de Construcción Estimado: Circa 1981 (~45 años de,,,10 de agosto de 2026,Rene Nouel,,Colapso / escombros,Sí,No detectado,,,,,,,,falla_columnas; perdida_verticalidad; dano_losas; cerramientos; acordonamiento,0,"• Establecimiento de Perímetro de Exclusión: Asegurar y acordonar un radio de seguridad no menor a 1.5 veces la altura total de la edificación, restringiendo totalmente el paso vehicular y peatonal. • Desconexión de Servicios Públicos: Coordinar con las empresas prestadoras de servicio el corte y retiro seguro de acometidas de energía eléctrica, agua potable y gas de la zona inmediata. • Método de Ejecución Remota: Dada la inestabilidad del inmueble, queda estrictamente prohibido el ingreso de p",Sí,5134,Alto,0.9,399098,36141140820261804,ROJO,Edificio macuto,"La Guaira, Venezuela",VARGAS,MAIQUETIA,3.0,Concreto,Vivienda Edificio,Edwar Alexander Alvarado,2026-08-14 18:04:09,,10.595935015132746,-66.94785164215051,se requiere iñsegunda inspección ,"Macuto (ROJO, score=0.9, id=171137) | Av Central (ROJO, score=0.9, id=170672)",dona hilda av central parroquia macuto estado guaira,dona hilda
INFORME TECNICO RESIDENCIAS IBIZA.pdf,6,Justificación técnica de demolición,DGPS-013-11-08-2026,Edificio Ibiza (Sección Colapsada y Secciones Adyacentes),"Tanaguarenas, Caraballeda, Parroquia Central, Estado La Guaira / Caracas",,,11 de agosto de 2026,Evaluador; Supervisor,Werner Faro,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,,,,,,falla_columnas; dano_losas,0,"• 4.1. Irregularidad geométrica y efectos torsionales: La configuración en planta tipo ""L"" del conjunto residencial generó una excentricidad significativa entre el centro de masas y el centro de rigidez, lo que indujo momentos torsores de piso bajo la acción sísmica. Esta condición, inherente a la morfología de la edificación, amplificó las demandas de deformaciones en las columnas perimetrales y esquineras, especialmente en el vértice interior de la L, creando una condición de vulnerabilidad pr",Sí,8111,Alto (alias manual),1.0,159293,169210160720261510,ROJO,Edificio Ibiza,"Vargas, La Guaira, 11, Venezuela",VARGAS,CARABALLEDA,11.0,Concreto,Vivienda Edificio,Tabatha Samantha Caroli Savelli Jimenez,2026-07-16 15:10:32,,10.6113648,-66.8213696,nan,"Ibiza (ROJO, score=1.0, id=1692) | Ibiza  (ROJO, score=1.0, id=154)",ibiza seccion colapsada y secciones adyacentes,ibiza
INFORME TECNICO RESIDENCIAS LOS TAMARINDOS 2.pdf,4,Justificación técnica de demolición,,Los Tamarindos 2,,,,11 de agosto de 2026,,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,Residencial,,,,,Sistema aporticado (pórticos de concreto armado),,falla_columnas; perdida_verticalidad; dano_losas; cerramientos; peligro_aledanos; acordonamiento,0, Conclusiones Técnicas del Caso: Dictamen de Habitabilidad: Se ratifica la clasificación de Etiqueta Roja (Inhabitable / Alto Riesgo). Recomendación Final: Demolición técnica y controlada direccionada hacia la zona posterior (campo de golf). Acciones Preventivas Inmediatas: Acordonamiento del perímetro y restricción total del paso peatonal y vehicular. Relevancia como Caso de Estudio: Falla Localizada de Entrepiso: Constituye un caso de estudio de alto valor técnico debido a que la falla se conc,Sí,4245,Alto,0.9,97301,16927130720261451,NEGRO,Los tamarindos,"Vargas, La Guaira, 11, Venezuela",VARGAS,CARABALLEDA,7.0,Concreto,Vivienda Edificio,Tabatha Samantha Caroli Savelli Jimenez,2026-07-13 14:51:44,,10.6091703,-66.8422572,nan,"Tamarindos II (NEGRO, score=0.5, id=201337)",tamarindos 2,tamarindos 2
INFORME TECNICO RESIDENCIAS MEDUSA.pdf,3,Justificación técnica de demolición,,Residencias Medusa,,,,11/08/2026,,,INSEGURO (Rojo) — confirmado/citado,Sí,No detectado,Residencial,,10,,,"Pórticos de concreto armado (12 columnas exteriores, 4",,cerramientos; peligro_aledanos,0,"1. La edificación Residencias Medusa presenta una condición estructural insegura e inhabitable, categorizada con Etiqueta Roja. 2. Debido a la deriva lateral permanentemente acumulada y al colapso de la capacidad resistente de sus elementos de concreto armado, la estructura no es apta para trabajos de rehabilitación o reforzamiento. 3. Se recomienda la DEMOLICIÓN CONTROLADA de la estructura, previa coordinación del perímetro de seguridad y la evacuación preventiva de las zonas adyacentes de infl",Sí,2779,Alto (alias manual),1.0,70266,8917120720261302,ROJO,Residencias medusa ,"Vargas, La Guaira, 11, Venezuela, avenida la playa ",VARGAS,CARABALLEDA,1.0,Concreto,Vivienda Edificio,Yohandy Alexi Miquilena Toyo,2026-07-12 13:02:40,,10.6126529,-66.830599,"La edificación presenta asentamiento debido a licuefacción, dando como resultado daño estructural e inclinación visible mayor a 2cm.ññ se presume ",,medusa,medusa
INFORME TECNICO RESIDENCIAS PARQUE AGUA MARINA.pdf,8,Ficha PNUD / ATC-20 detallada,,Edificio / Complejo: Parque Residencial Agua Marina,"Avenida La Playa, Sector Quince Letras, Parroquia Macuto, Estado La Guaira.",10.611311,-66.887579,11/08/2026,,,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,Sí,,,,,,,,falla_columnas; peligro_aledanos,0,POST-SÍSMICA Y RECOMENDACIÓN DE DEMOLICIÓN ,Sí,4538,Alto,0.9,220019,106101290720261300,ROJO,residencial,"Caracas, Distrito Capital, 10, Venezuela",VARGAS,LA GUAIRA,1.0,Mampostería formal,Vivienda Casa,Reegan Antonio Morillo Morillo,2026-07-29 13:00:02,,10.6000163,-66.9321233,estable Pero con peligro eminente ,"Residencia agua marina (ROJO, score=0.9, id=173716) | Res parque del caribe  (ROJO, score=0.75, id=387555)",complejo parque residencial agua marina,parque agua marina
INFORME TECNICO RESIDENCIAS PARQUE AZUL.pdf,4,Justificación técnica de demolición,,Parque Azul presenta un colapso parcial severo que compromete,"Avenida La Playa con Calle Jardín Botánico, Sector Tanaguarenas /",,,17/07/2026,Frank Rojas,,INSEGURO (Rojo) — confirmado/citado,Parcial/implícito,No detectado,,,9,,445,pórticos de concreto armado,,falla_columnas; perdida_verticalidad; dano_losas; cerramientos; peligro_aledanos; acordonamiento; apuntalamiento,0,,Sí,4856,Alto (alias manual),1.0,161871,152613170720261316,ROJO,Parque azul,Avenida la playa,VARGAS,CARABALLEDA,8.0,Concreto,Vivienda Edificio,Frank Marcos Rojas Rojas,2026-07-17 13:17:04,,10.6129126,-66.8253563,edificio colpsado,"Res. Parque azul (ROJO, score=0.9, id=32672) | RESIDENCIAS PARQUE ANTILLANO (ROJO, score=0.5, id=454484)",parque azul presenta un colapso parcial severo que compromete,parque azul
INFORME TECNICO RESIDENCIAS SOL DE ORO II.pdf,6,Justificación técnica de demolición,,RESIDENCIAS SOL DE ORO II,"Av. Principal de La Llanada, Parroquia Caraballeda, Municipio Vargas,",,,,,,INSEGURO (Rojo) — confirmado/citado,Parcial/implícito,Sí,,,,,,No se evidencian colapsos parciales ni,,perdida_verticalidad; dano_losas; cerramientos; peligro_aledanos; acordonamiento,0,,Sí,5504,Alto (alias manual),1.0,140599,4563130720260225,ROJO,Edif. Sol de Oro II,"Av ppal La Llanada, caraballeda 1165, municipal Vargas, edo La Guaira.",VARGAS,CARABALLEDA,13.0,Concreto,Vivienda Edificio,Jesus Enrique Carvajal Franco,2026-07-15 15:13:39,,10.608131640224402,-66.86646384475426,realizar apuntalamiento. daño severo en columnas sin colapsos. riesgo de caida de paredes y acabado semipesado en fachada,"Resd Sol de Oro III (ROJO, score=0.9, id=261409) | Residencias Sol de Oro (ROJO, score=0.9, id=190094)",sol oro ii,sol oro ii
INFORME TECNICO RESIDENCIAS SOL DE ORO IV.pdf,8,Informe técnico estructural,,Residencias Sol de Oro IV,,,,11/08/2026,Edinson Stand Ing. Crisbelys Caraballo Ing,Jorge Medina,INSEGURO (Rojo) — confirmado/citado,No detectado en texto,No detectado,,,,,,,,falla_columnas; dano_vigas; dano_losas; cerramientos; acordonamiento; apuntalamiento,12,,Sí,10023,Alto (alias manual),1.0,190094,4567220720261823,ROJO,Residencias Sol de Oro,Av. Ppal La Llanada.,VARGAS,CARABALLEDA,12.0,Concreto,Vivienda Edificio,Jesus Enrique Carvajal Franco,2026-07-23 10:42:37,,10.609388,-66.865886,"se debe realizar limpieza, apuntalamiento, inspeccion profunda de daños, evaluacion estructural.","Residencias sol de oro I (ROJO, score=0.9, id=145921) | Residencias Sol de Oro V (ROJO, score=0.667, id=190281)",sol oro iv,sol oro iv
INFORME TECNICO RESIDENCIAS SUITES CARIBBEAN.pdf,3,Justificación técnica de demolición,,RESIDENCIAS SUITES CARIBBEAN,,10.6123498,-66.8291587,,,,Dictamen orientado a demolición (sin etiqueta explícita en texto),Sí,No detectado,,,,,,pórticos de concreto armado,,falla_columnas; perdida_verticalidad; cerramientos,0,3. JUSTIFICACIÓN TÉCNICA DE DEMOLICIÓN ,Sí,3969,Alto,0.75,159769,214236160720261639,AMARILLO,Edificio  Caraballeda Suites,"Tanaguarena, Caraballeda",VARGAS,CARABALLEDA,6.0,Concreto,Vivienda Edificio,Ornella Abril Acosta Rodriguez,2026-07-16 16:39:19,,10.60964665751632,-66.82709256351204,Daños observados de mampostería ,"Residencias Maydelen Suites (NEGRO, score=0.5, id=358519) | Malibu Suites (NEGRO, score=0.5, id=193075)",suites caribbean,suites caribbean
INFORME TECNICO RESIDENCIAS TANAGUARENA MAR.pdf,3,Justificación técnica de demolición,,"Residencia Tanaguarena Mar,","2da transversal, Av. La Playa, parroquia Caraballeda, Municipio",,,,,,Colapso / escombros,Sí,No detectado,,,,,,,,falla_columnas; acordonamiento,0,"1. Colapso Estructural Irreversible: El edificio se encuentra en una condición de colapso total e inestabilidad geométrica severa. La estructura carece de cualquier posibilidad de recuperación o rehabilitación. 2. Riesgo de Desplazamiento Secundario: El bloque superior desplazado se mantiene en un soporte inestable sobre los escombros de la planta baja, representando un riesgo potencial de colapso súbito o deslizamiento adicional ante cualquier vibración. 4. Recomendaciones de Emergencia y Demol",Sí,3813,Alto (alias manual),1.0,170020,19597170720261221,ROJO,Residencia Tanaguarena Mar,Calle el parque .. residencia tanaguarena Mar casa blanca .. parraquia caraballeda,VARGAS,CARABALLEDA,7.0,Concreto,Vivienda Edificio,Andrea Valentina Trinca,2026-07-18 13:19:00,,10.610458564113308,-66.82327275615175,nan,"RESIDENCIAS TANAGUARENA  (ROJO, score=0.9, id=92248) | Res. Tanaguarena mar  (ROJO, score=0.9, id=32680)",tanaguarena mar,tanaguarena mar
